1721.TW 三晃 現價:13.20
1722.TW 台肥 現價:62.5
1723.TW 中碳 現價:109.0
1725.TW 元禎 現價:20.10
1726.TW 永記 現價:73.0
1727.TW 中華化 現價:28.90
1730.TW 花仙子 現價:57.8
1731.TW 美吾華 現價:20.60
1732.TW 毛寶 現價:24.90
1733.TW 五鼎 現價:26.00
1734.TW 杏輝 現價:32.75
1735.TW 日勝化 現價:16.55
1736.TW 喬山 現價:71.2
1737.TW 臺鹽 現價:34.20
1742.TWO 台蠟 現價:16.55
1752.TW 南光 現價:54.1
1760.TW 寶齡富錦 現價:100.0
1762.TW 中化生 現價:63.6
1773.TW 勝一 現價:126.5
1776.TW 展宇 現價:16.60
1777.TWO 生泰 現價:86.5
1781.TWO 合世 現價:12.60
1783.TW 和康生 現價:56.8
1784.TWO 訊聯 現價:68.7
1785.TWO 光洋科 現價:35.60
1786.TW 科妍 現價:80.4
1788.TWO 杏昌 現價:139.5
1789.TW 神隆 現價:27.30
1795.TW 美時 現價:254.0
1796.TWO 金穎生技 現價:95.5
1799.TWO 易威 現價:-
1802.TW 台玻 現價:19.15
1805.TW 寶徠 現價:10.10
1806.TW 冠軍 現價:9.21
1808.TW 潤隆 現價:88.3
1809.TW 中釉 現價:13.90
1810.TW 和成 現價:19.50
1813.TWO 寶利徠 現價:19.20
1815.TWO 富喬 現價:13.25
1817.TW 凱撒衛 現價:36.35
1903.TW 士紙 現價:54.8
1904.TW 正隆 現價:28.35
1905.TW 華紙 現價:23.75
1906.TW 寶隆 現價:15.65
1907.TW 永豐餘 現價:30.10
1909.TW 榮成 現價:14.70
2002.TW 中鋼 現價:27.20
2002A.TW 中鋼特 現價:44.35
2006.TW 東和鋼鐵 現價:59.6
2007.TW 燁興 現價:9.68
2008.TW 高興昌 現價:19.75
2009.TW 第一銅 現價:30.25
2010.TW 春源 現價:17.00
2012.TW 春雨 現價:24.40
2013.TW 中鋼構 現價:55.2
2014.TW 中鴻 現價:23.20
2015.TW 豐興 現價:67.5
2017.TW 官田鋼 現價:14.45
2020.TW 美亞 現價:25.90
